Folder,Motion_Onset_Frame,Video_Onset_Time_ms,Offset_ms,Confidence,Trim_Offset_s,IMU_Peak_Time_s,IMU_Offset_ms,IMU_Confidence,IMU_Start_Time,GoPro_Start_Time,IMU_Trim_Start_Time,GT_Offset_ms,Error_ms
Aeros_Flat_1,268,1116.667,20745.1,1.0,21.8618,,,,,,,,
Aeros_Flat_2,460,1916.667,6888.2,1.0,8.8049,,,,,,,,
Aeros_Flat_3,1430,5958.333,4395.8,1.0,10.3541,,,,,,,,
Aeros_Flat_4,990,4125.0,3010.3,1.0,7.1353,,,,,,,,
Aeros_Flat_5,1270,5291.667,1023.1,1.0,6.3148,,,,,,,,
Aeros_Flat_6,640,2666.667,3613.3,1.0,6.28,,,,,,,,
Aeros_Flat_7,760,3166.667,3184.8,1.0,6.3515,,,,,,,,
Arya_Flat_1,1240,5166.667,25485.4,1.0,30.6521,,,,,,,,
Arya_Flat_2,1400,5833.333,7332.0,1.0,13.1653,,,,,,,,
Arya_Flat_3,1255,5229.167,6655.6,1.0,11.8848,,,,,,,,
Arya_Flat_4,1346,5608.333,6353.8,1.0,11.9621,,,,,,,,
Arya_Flat_5,1170,4875.0,1616.4,1.0,6.4914,,,,,,,,
Arya_Flat_6,1315,5479.167,-311.7,1.0,5.1675,,,,,,,,
Cayenne_Flat_1,2680,11166.667,28823.9,1.0,39.9906,,,,,,,,
Cayenne_Flat_2,1120,4666.667,11396.7,1.0,16.0634,,,,,,,,
Cayenne_Flat_3,1600,6666.667,855.2,1.0,7.5219,,,,,,,,
Cayenne_Flat_4,1880,7833.333,1331.7,1.0,9.165,,,,,,,,
Cayenne_Flat_5,1445,6020.833,769.8,1.0,6.7906,,,,,,,,
Cayenne_Flat_6,1375,5729.167,866.7,1.0,6.5959,,,,,,,,
Chester_Flat_1,1350,5625.0,4893.4,1.0,10.5184,,,,,,,,
Chester_Flat_2,1418,5908.333,683.4,1.0,6.5917,,,,,,,,
Chester_Flat_3,1527,6362.5,1124.6,1.0,7.4871,,,,,,,,
Chester_Flat_4,1478,6158.333,,1.0,,,,,,,,,
Chester_Flat_5,1527,6362.5,4430.7,1.0,10.7932,,,,,,,,
Chester_Flat_6,1347,5612.5,1827.3,1.0,7.4398,,,,,,,,
Delta_Flat_1,1762,7341.667,3950.4,1.0,11.2921,,,,,,,,
Delta_Flat_2,2254,9391.667,16163.1,1.0,25.5548,,,,,,,,
Delta_Flat_3,2655,11062.5,-1408.0,1.0,9.6545,,,,,,,,
Delta_Flat_4,2665,11104.167,4128.6,1.0,15.2328,,,,,,,,
Delta_Flat_5,2421,10087.5,2040.3,1.0,12.1278,,,,,,,,
Delta_Flat_6,2347,9779.167,3390.4,1.0,13.1696,,,,,,,,
Derby_Flat_1,888,3700.0,6436.9,1.0,10.1369,,,,,,,,
Derby_Flat_2,1752,7300.0,564.5,1.0,7.8645,,,,,,,,
Derby_Flat_3,0,,,,,,,,,,,,
Derby_Flat_4,1944,8100.0,814.0,1.0,8.914,,,,,,,,
Derby_Flat_5,2328,9700.0,205.8,1.0,9.9058,,,,,,,,
Derby_Flat_6,2256,9400.0,2837.7,1.0,12.2377,,,,,,,,
Dolphin_Flat_1,253,1054.167,4334.6,1.0,5.3888,,,,,,,,
Dolphin_Flat_2,744,3100.0,4096.6,1.0,7.1966,,,,,,,,
Dolphin_Flat_3,696,2900.0,2002.3,1.0,4.9023,,,,,,,,
Dolphin_Flat_4,648,2700.0,3172.1,1.0,5.8721,,,,,,,,
Dolphin_Flat_5,1080,4500.0,416.3,1.0,4.9163,,,,,,,,
Dolphin_Flat_6,1272,5300.0,740.4,1.0,6.0404,,,,,,,,
Dolphin_Flat_7,1104,4600.0,1626.5,1.0,6.2265,,,,,,,,
Goose_Flat_1,1122,4675.0,13858.7,1.0,18.5337,,,,,,,,
Goose_Flat_2,1085,4520.833,8571.9,1.0,13.0927,,,,,,,,
Goose_Flat_3,1233,5137.5,10104.9,1.0,15.2424,,,,,,,,
Goose_Flat_4,948,3950.0,790.9,1.0,4.7409,,,,,,,,
Goose_Flat_5,951,3962.5,1004.0,1.0,4.9665,,,,,,,,
Goose_Flat_6,1058,4408.333,2881.0,1.0,7.2893,,,,,,,,
Izzy_Flat_1,889,3704.167,981.5,1.0,4.6857,,,,,,,,
Izzy_Flat_2,911,3795.833,1989.0,1.0,5.7848,,,,,,,,
Izzy_Flat_4,988,4116.667,31345.2,1.0,35.4619,,,,,,,,
Izzy_Flat_5,864,3600.0,1128.3,1.0,4.7283,,,,,,,,
Izzy_Flat_6,1228,5116.667,-277.4,1.0,4.8393,,,,,,,,
Izzy_Flat_7,1207,5029.167,3694.9,1.0,8.7241,,,,,,,,
Jax_Flat_1,812,3383.333,5902.7,1.0,9.286,,,,,,,,
Jax_Flat_2,500,2083.333,12320.5,1.0,14.4038,,,,,,,,
Jax_Flat_3,566,2358.333,12384.4,1.0,14.7427,,,,,,,,
Jax_Flat_4,1044,4350.0,10969.3,1.0,15.3193,,,,,,,,
Jax_Flat_5,3487,14529.167,695.3,1.0,15.2245,,,,,,,,
Jax_Flat_6,4636,19316.667,6007.3,1.0,25.324,,,,,,,,
Jyn_Flat_1,790,3291.667,10865.4,1.0,14.1571,,,,,,,,
Jyn_Flat_2,700,2916.667,8948.4,1.0,11.8651,,,,,,,,
Jyn_Flat_3,524,2183.333,5067.5,1.0,7.2508,,,,,,,,
Jyn_Flat_4,1190,4958.333,3654.1,1.0,8.6124,,,,,,,,
Jyn_Flat_5,1174,4891.667,4824.5,1.0,9.7162,,,,,,,,
Jyn_Flat_6,1040,4333.333,3529.6,1.0,7.8629,,,,,,,,
Kahlua_Flat_1,1728,7200.0,5232.0,1.0,12.432,,,,,,,,
Kahlua_Flat_2,1512,6300.0,-2483.4,1.0,3.8166,,,,,,,,
Kahlua_Flat_3,480,2000.0,2618.5,1.0,4.6185,,,,,,,,
Kahlua_Flat_4,648,2700.0,1762.9,1.0,4.4629,,,,,,,,
Kahlua_Flat_5,696,2900.0,3689.0,1.0,6.589,,,,,,,,
Kahlua_Flat_6,936,3900.0,1677.4,1.0,5.5774,,,,,,,,
Nico_Flat_1,1896,7900.0,14319.0,1.0,22.219,,,,,,,,
Nico_Flat_2,1584,6600.0,5317.4,1.0,11.9174,,,,,,,,
Nico_Flat_3,624,2600.0,4905.3,1.0,7.5053,,,,,,,,
Nico_Flat_4,912,3800.0,1871.9,1.0,5.6719,,,,,,,,
Nico_Flat_5,1176,4900.0,8434.7,1.0,13.3347,,,,,,,,
Nico_Flat_6,816,3400.0,10079.2,1.0,13.4792,,,,,,,,
Noodle_Flat_1,840,3500.0,6686.1,1.0,10.1861,,,,,,,,
Noodle_Flat_2,1296,5400.0,923.5,1.0,6.3235,,,,,,,,
Noodle_Flat_3,1440,6000.0,3043.4,1.0,9.0434,,,,,,,,
Noodle_Flat_4,2928,12200.0,-3977.4,1.0,8.2226,,,,,,,,
Noodle_Flat_5,1296,5400.0,7668.0,1.0,13.068,,,,,,,,
Noodle_Flat_6,3120,13000.0,1065.2,1.0,14.0652,,,,,,,,
Noodle_Flat_7,1296,5400.0,776.0,1.0,6.176,,,,,,,,
Pizza_Flat_1,1632,6800.0,4386.9,1.0,11.1869,,,,,,,,
Pizza_Flat_2,600,2500.0,6992.3,1.0,9.4923,,,,,,,,
Pizza_Flat_3,456,1900.0,2566.7,1.0,4.4667,,,,,,,,
Pizza_Flat_4,1200,5000.0,4042.4,1.0,9.0424,,,,,,,,
Pizza_Flat_5,1608,6700.0,2733.2,1.0,9.4332,,,,,,,,
Pizza_Flat_6,1488,6200.0,464.6,1.0,6.6646,,,,,,,,
Pizza_Flat_7,1536,6400.0,2455.8,1.0,8.8558,,,,,,,,
Raina_Flat_1,2229,9287.5,15541.8,1.0,24.8293,,,,,,,,
Raina_Flat_2,2419,10079.167,60771.4,1.0,70.8506,,,,,,,,
Raina_Flat_3,2074,8641.667,4499.9,1.0,13.1416,,,,,,,,
Raina_Flat_4,1909,7954.167,5504.6,1.0,13.4588,,,,,,,,
Raina_Flat_5,1853,7720.833,1783.4,1.0,9.5042,,,,,,,,
Raina_Flat_6,0,,,,,,,,,,,,
Revv_Flat_1,1365,5687.5,3601.9,1.0,9.2894,,,,,,,,
Revv_Flat_2,1411,5879.167,135.3,1.0,6.0145,,,,,,,,
Revv_Flat_3,1408,5866.667,4457.1,1.0,10.3238,,,,,,,,
Revv_Flat_4,1499,6245.833,956.9,1.0,7.2027,,,,,,,,
Revv_Flat_5,1395,5812.5,-2977.6,1.0,2.8349,,,,,,,,
Revv_Flat_6,1558,6491.667,-3635.7,1.0,2.856,,,,,,,,
Rockett_Flat_1,1170,4875.0,2690.5,1.0,7.5655,,,,,,,,
Rockett_Flat_2,886,3691.667,998.8,1.0,4.6905,,,,,,,,
Rockett_Flat_3,638,2658.333,1950.1,1.0,4.6084,,,,,,,,
Rockett_Flat_4,655,2729.167,2115.6,1.0,4.8448,,,,,,,,
Rockett_Flat_5,1110,4625.0,1152.9,1.0,5.7779,,,,,,,,
Rockett_Flat_6,772,3216.667,810.6,1.0,4.0273,,,,,,,,
Rockett_Flat_7,743,3095.833,4077.6,1.0,7.1734,,,,,,,,
Rumchata_Flat_1,1728,7200.0,4397.3,1.0,11.5973,,,,,,,,
Rumchata_Flat_2,1494,6225.0,8784.3,1.0,15.0093,,,,,,,,
Rumchata_Flat_3,556,2316.667,15080.1,1.0,17.3968,,,,,,,,
Rumchata_Flat_4,1081,4504.167,4620.4,1.0,9.1246,,,,,,,,
Rumchata_Flat_5,1700,7083.333,4131.0,1.0,11.2143,,,,,,,,
Rumchata_Flat_6,1356,5650.0,5695.4,1.0,11.3454,,,,,,,,
Sass_Flat_1,1325,5520.833,25955.5,1.0,31.4763,,,,,,,26239.0,-283.5
Sass_Flat_2,1548,6450.0,9742.4,1.0,16.1924,,,,,,,10358.0,-615.6
Sass_Flat_3,1651,6879.167,5094.3,1.0,11.9735,,,,,,,5701.0,-606.7
Sass_Flat_4,1803,7512.5,3145.3,1.0,10.6578,,,,,,,3612.0,-466.7
Sass_Flat_5,2051,8545.833,7123.0,1.0,15.6688,,,,,,,7612.0,-489.0
Sass_Flat_6,2625,10937.5,10607.3,1.0,21.5448,,,,,,,11254.0,-646.7
Tigger_Flat_1,1120,4666.667,1041.1,1.0,5.7078,,,,,,,1045.0,-3.9
Tigger_Flat_2,1378,5741.667,2872.3,1.0,8.614,,,,,,,3015.0,-142.7
Tigger_Flat_3,909,3787.5,914.0,1.0,4.7015,,,,,,,985.0,-71.0
Tigger_Flat_4,932,3883.333,2113.6,1.0,5.9969,,,,,,,2299.0,-185.4
Tigger_Flat_5,891,3712.5,1602.5,1.0,5.315,,,,,,,1853.0,-250.5
Tigger_Flat_6,956,3983.333,1733.1,1.0,5.7164,,,,,,,1940.0,-206.9
Vivi_Flat_1,1533,6387.5,5410.8,1.0,11.7983,,,,,,,5369.0,41.8
Vivi_Flat_2,1300,5416.667,1904.4,1.0,7.3211,,,,,,,2093.0,-188.6
Vivi_Flat_3,1088,4533.333,813.9,1.0,5.3472,,,,,,,880.0,-66.1
Vivi_Flat_4,1905,7937.5,1259.6,1.0,9.1971,,,,,,,2032.0,-772.4
Vivi_Flat_5,514,2141.667,1570.9,1.0,3.7126,,,,,,,-637.0,2207.9
Vivi_Flat_6,561,2337.5,1605.2,1.0,3.9427,,,,,,,1365.0,240.2
Zazu_Flat_1,1404,5850.0,3454.6,1.0,9.3046,,,,,,,3493.0,-38.4
Zazu_Flat_2,1215,5062.5,3022.9,1.0,8.0854,,,,,,,507.0,2515.9
Zazu_Flat_3,1208,5033.333,3365.5,1.0,8.3988,,,,,,,1403.0,1962.5
Zazu_Flat_4,3954,16475.0,1608.3,1.0,18.0833,,,,,,,1135.0,473.3
Zazu_Flat_5,1262,5258.333,1928.2,1.0,7.1865,,,,,,,1403.0,525.2
Zazu_Flat_6,1516,6316.667,1263.4,1.0,7.5801,,,,,,,1164.0,99.4
